SNCT_SEQ,REG_DT,MAX_SPD,CCTV_CNT,FCLTY_NM,ROAD_WDT,CCTV_YN,ADDR,SIGUN_CD,SIGUN_NM,X,Y,FCLTY_TY,GEOM,DATA_TYPE
19147,20190331,30,2,염창초등학교,5~8,1 ,서울특별시 강서구 양천로 646-28 (염창동) .,11500,강서구,126.86805499107973,37.55227053564923,1,"POLYGON((126.86813109154727 37.55228189205621,126.8680266452347 37.55214887822863,126.86799261138383 37.55219614255417,126.86653415771389 37.55298738076678,126.86656801213292 37.553041478872196,126.86802080411896 37.5522524864148,126.86813109154727 37.55228189205621))",C0103
19148,20190331,30,0,염창초등학교,7,2 ,서울특별시 강서구 양천로 646-28 (염창동) .,11500,강서구,126.86805499107973,37.55227053564923,1,"POLYGON((126.86922379512968 37.55192270833019,126.86917297595652 37.55186183469746,126.86836301519469 37.552322695732414,126.86829792754776 37.5523316331264,126.86836847949463 37.552433074017614,126.86840536619016 37.55237229780255,126.86922379512968 37.55192270833019))",C0103
18972,20190331,30,2,내발산초등학교,9~10,1 ,서울특별시 강서구 강서로46길 23 (내발산동) .,11500,강서구,126.83828136254975,37.550863572490194,1,"POLYGON((126.8398847924341 37.55225634882675,126.83953097993971 37.551753527871114,126.83935920589545 37.551232720600616,126.83926311272093 37.550834108104176,126.8391588523691 37.55084702372548,126.83914097712554 37.55085053907161,126.83924613611259 37.55118751684898,126.83939919457644 37.55163572349715,126.8393959360529 37.5516907925528,126.83980036274333 37.55228243890966,126.8398847924341 37.55225634882675))",C0103
18974,20190331,30,1,내발산초등학교,6~7,1 ,서울특별시 강서구 강서로46길 23 (내발산동) .,11500,강서구,126.83828136254975,37.550863572490194,1,"POLYGON((126.8394022060217 37.55169580161865,126.8393897570461 37.55164323397965,126.83877935431654 37.55168542482104,126.83863221264788 37.55169648628918,126.83856712691167 37.551703154802134,126.8371586952282 37.55171088240589,126.8371527494837 37.55170613220177,126.83711707434307 37.55167763041985,126.83711087575496 37.55178906102638,126.8371377196823 37.5517701296267,126.83862880360095 37.551742297265264,126.8394022060217 37.55169580161865))",C0103
18976,20190331,30,1,내발산초등학교,5~7,1 ,서울특별시 강서구 강서로46길 23 (내발산동) .,11500,강서구,126.83828136254975,37.550863572490194,1,"POLYGON((126.83907700511982 37.55272873513637,126.83839349630448 37.55084477618592,126.838322023347 37.55084467834274,126.83902605978088 37.552737675664055,126.83907700511982 37.55272873513637))",C0103
18978,20190331,30,1,방화이화유치원,8~10,1 ,서울특별시 강서구 양천로17길 4-55 (방화동) .,11500,강서구,126.8135577694373,37.574157273180745,1,"POLYGON((126.81415861676227 37.574354623004474,126.81415602182585 37.57426001459851,126.81403997936822 37.57426433682838,126.81405131069275 37.57425984970971,126.81391263358857 37.574261883675526,126.81390132467637 37.574257360880836,126.81353625074775 37.57425678480809,126.8134626531019 37.57426342598855,126.81338623103298 37.57426781017452,126.81334659373594 37.57427450496151,126.81301541252397 37.57430101066699,126.81294760443515 37.57425585356884,126.81293495793653 37.574238503576304,126.8128585133171 37.57425189732018,126.8128570434664 37.574255710040745,126.81286264716184 37.57427824376198,126.81286817758802 37.57433005965592,126.81287940190798 37.57436836967196,126.81287650424008 37.57439539488402,126.81288501689018 37.57438639844208,126.81288362852747 37.5743938436097,126.81297137089466 37.57438947768459,126.81297844748391 37.574370779108726,126.81331809662746 37.5743532968339,126.81334640258974 37.57435108910856,126.81343696367654 37.574351232261556,126.81343695805731 37.57435348473646,126.81356432643673 37.57434692850307,126.81373131526487 37.57434043465427,126.81374506712594 37.574500382699895,126.81390640180841 37.57449162719929,126.81395760028123 37.57438809364263,126.8140369196904 37.57435668384545,126.81415861676227 37.574354623004474))",C0103
18979,20190331,30,0,서울마곡유치원,12,2 ,서울특별시 강서구 마곡서1로 139-13 (마곡동) .,11500,강서구,126.81768993337369,37.56933202419049,1,"POLYGON((126.81826037397684 37.569018997408,126.81820381016495 37.56900539540326,126.81818544047267 37.56957749852777,126.81824201566052 37.56958659558643,126.81826037397684 37.569018997408))",C0103
18980,20190331,50,2,송화초등학교,40~46,1 ,서울특별시 강서구 방화대로34길 2 (방화동) .,11500,강서구,126.81687795837863,37.568966792813065,1,"POLYGON((126.81689716874725 37.57101259320374,126.81682568705095 37.56668996167404,126.81636159787803 37.566693745684354,126.81645162798989 37.57101254361195,126.81689716874725 37.57101259320374))",C0103
18981,20190331,40,1,송화초등학교,29~38,1 ,서울특별시 강서구 방화대로34길 2 (방화동) .,11500,강서구,126.81687795837863,37.568966792813065,1,"POLYGON((126.8198320187307 37.567395111220925,126.81981431207195 37.56724450803623,126.81729652144116 37.56740022456502,126.81682950985534 37.56744004567166,126.81682386134098 37.567435531934684,126.81684932929664 37.56743557144706,126.81686354433668 37.567408563660045,126.81685185022913 37.567561714603045,126.81683766824827 37.567575207520264,126.81684050905714 37.567570706954626,126.8198320187307 37.567395111220925))",C0103
18982,20190331,30,4,송화초등학교,12,1 ,서울특별시 강서구 방화대로34길 2 (방화동) .,11500,강서구,126.81687795837863,37.568966792813065,1,"POLYGON((126.81995502612735 37.57037083300407,126.8168739213289 37.56894928035976,126.81687921703313 37.56909795264611,126.81988974894298 37.57044957042576,126.81993798717191 37.57039558435776,126.81995502612735 37.57037083300407))",C0103
18983,20190331,30,3,송화초등학교,18~26,1 ,서울특별시 강서구 방화대로34길 2 (방화동) .,11500,강서구,126.81687795837863,37.568966792813065,1,"POLYGON((126.81940954985939 37.56947058849427,126.81922070093889 37.56743021650357,126.81928862637491 37.567425815522284,126.81926697868094 37.56701582980411,126.8190462249159 37.56702900657478,126.81908491541637 37.56741198860957,126.8191075535949 37.56741202329836,126.81929495011637 37.56949360756356,126.81940954985939 37.56947058849427))",C0103
18984,20190331,30,1,송화초등학교,20,1 ,서울특별시 강서구 방화대로34길 2 (방화동) .,11500,강서구,126.81687795837863,37.568966792813065,1,"POLYGON((126.81997808270808 37.569021629181385,126.81997259652401 37.56894954126184,126.81942640659882 37.56896222202287,126.81936993508646 37.56891032845477,126.81921994870403 37.568912351363885,126.81914055554469 37.5689775518587,126.81916019554586 37.569047409011304,126.81924775166786 37.56911737016268,126.81938079207505 37.56910180637793,126.81944887669685 37.56903208345664,126.81989884195099 37.56902376080922,126.81997808270808 37.569021629181385))",C0103
18985,20190331,30,2,방화초등학교,20,1 ,서울특별시 강서구 양천로6길 92 (방화동) .,11500,강서구,126.80743759022236,37.56857829201496,1,"POLYGON((126.8095145898204 37.5677314261954,126.80607633962154 37.5677285541419,126.80607842580585 37.56787348258124,126.80950819179779 37.56788791856644,126.8095145898204 37.5677314261954))",C0103
18783,20190331,30,1,양천초등학교,9,1 ,서울특별시 강서구 양천로 329 (가양동) .,11500,강서구,126.84005165588208,37.56963941936926,1,"POLYGON((126.84030819308552 37.571411126319006,126.84024599243224 37.57138401233548,126.8402431769405 37.57137725106821,126.84024598280976 37.571388517293954,126.84028274298541 37.57140208194719,126.84027144252174 37.571393056715216,126.84025730251327 37.57138853261142,126.84023470159887 37.57137048214148,126.84022906099547 37.57136146456482,126.84024035663786 37.57137274228014,126.84024033258083 37.57138400467634,126.84025448702033 37.571381771344434,126.84022618776415 37.57138173304805,126.84016656196737 37.57147400425132,126.83962492496272 37.571995846350106,126.83937254673225 37.5722342666854,126.83903565087141 37.5722946249206,126.83904404864705 37.572337433592345,126.83904681074341 37.572368972152994,126.8393666933019 37.572324358136214,126.83953383982674 37.57224124349102,126.83950555958107 37.57223219510582,126.83953385915808 37.57223223357569,126.83967567572824 37.57208376221718,126.84022581243961 37.57155742642595,126.84031384812981 37.57141338645415,126.84027993711011 37.57139081572235,126.84027429649971 37.571381798147875,126.84030819308552 37.571411126319006))",C0103
18784,20190331,30,0,양천초등학교,7,2 ,서울특별시 강서구 양천로 329 (가양동) .,11500,강서구,126.84005165588208,37.56963941936926,1,"POLYGON((126.84169418044651 37.57125287178401,126.84166140836851 37.57117193306129,126.84056616296867 37.57120199381223,126.84056882003402 37.571283086889835,126.84169418044651 37.57125287178401))",C0103
18785,20190331,30,1,양천초등학교,8,1 ,서울특별시 강서구 양천로 329 (가양동) .,11500,강서구,126.84005165588208,37.56963941936926,1,"POLYGON((126.84067631489285 37.56997453761548,126.8397124096785 37.56946867589113,126.83978324285485 37.569428227284426,126.84003764529143 37.569561468964494,126.84006874000158 37.569577278497505,126.84005176567442 37.5695750030148,126.84025531816016 37.56966763056365,126.84066519693432 37.569879918185315,126.84070198043223 37.56988222031067,126.84067631489285 37.56997453761548))",C0103
18786,20190331,50,2,양천초등학교,30,1 ,서울특별시 강서구 양천로 329 (가양동) .,11500,강서구,126.84005165588208,37.56963941936926,1,"POLYGON((126.84213640245275 37.57180028189771,126.84162578639534 37.56928430181792,126.8413144268296 37.56931992350266,126.84151602816044 37.57033381318236,126.84182413831252 37.57183663450221,126.84213640245275 37.57180028189771))",C0103
18787,20190331,30,1,양천초등학교,27,1 ,서울특별시 강서구 양천로 329 (가양동) .,11500,강서구,126.84005165588208,37.56963941936926,1,"POLYGON((126.84289320919461 37.570803301493626,126.84280806891998 37.57059787585498,126.84203577102714 37.57078725947398,126.84192264154159 37.57075557324255,126.84200117457583 37.57108904629706,126.84210324171836 37.57099908341678,126.84289320919461 37.570803301493626))",C0103
18788,20190331,30,0,서울공진초등학교,20,2 ,서울특별시 강서구 마곡서로 33 (마곡동) 서울공진초등학교,11500,강서구,126.82323428777946,37.55761708652602,1,"POLYGON((126.82360825350801 37.55832766892041,126.82366484713943 37.55832561363162,126.82365137637301 37.55831484915865,126.82365681153692 37.558325579186445,126.82364064662302 37.55829338938095,126.8235922552084 37.55828473514095,126.82356021514026 37.55814525806182,126.82350966856293 37.55787486126281,126.82340781890206 37.55764301783905,126.82328955766022 37.5575076914014,126.82318198554688 37.55741101105062,126.82304480046966 37.557309961547666,126.82249339761944 37.55688438167296,126.82243131736274 37.55693361792791,126.82300691719104 37.5573807005278,126.82318712134273 37.55752470208034,126.82332149768747 37.557677216633394,126.82341266833019 37.557866134244065,126.82344715468281 37.55809573698183,126.8234736588208 37.55829097756551,126.82341149319045 37.55834023657095,126.82341148808739 37.558342398934684,126.82345997950983 37.55834461134354,126.82347616376684 37.55834463554158,126.82360825350801 37.55832766892041))",C0103
18789,20190331,30,2,서울공진초등학교,18,1 ,서울특별시 강서구 마곡서로 33 (마곡동) 서울공진초등학교,11500,강서구,126.82323428777946,37.55761708652602,1,"POLYGON((126.82481563596986 37.55830162603532,126.8247996676885 37.55820936283584,126.82325794551832 37.5583614957672,126.82174587700972 37.55849865180598,126.82176181089416 37.55860379953541,126.82327653629406 37.558468787235945,126.82481563596986 37.55830162603532))",C0103
18792,20190331,30,1,탑산초등학교,24,1 ,서울특별시 강서구 허준로 109 (가양동) .,11500,강서구,126.8523556676873,37.566291478107644,1,"POLYGON((126.85360162009138 37.56540652986836,126.85341541693606 37.56521616455951,126.85243798174666 37.5658186138079,126.85188239392593 37.56630445551325,126.84975282052302 37.568115192141924,126.84970749841263 37.56813765932661,126.84992222006255 37.56830912150827,126.85143102555503 37.56702918945863,126.85145373522246 37.56699317823114,126.85151045564 37.56693017992785,126.8514311329232 37.56697512988819,126.85148778179472 37.56694817130973,126.85156710444897 37.56690322131097,126.85153339770865 37.56677703961121,126.85156706869243 37.566921241168174,126.85157840560284 37.5669122454701,126.85255638589057 37.56604401055635,126.85292467532526 37.565828231065645,126.85360162009138 37.56540652986836))",C0103
18793,20190331,30,0,탑산초등학교,22~25,2 ,서울특별시 강서구 허준로 109 (가양동) .,11500,강서구,126.8523556676873,37.566291478107644,1,"POLYGON((126.85091503318894 37.567116561068595,126.85085280529076 37.56710296754515,126.85022646454344 37.56616964464923,126.84927846187654 37.564785410403076,126.84904584004346 37.56491185431249,126.85051895602197 37.567071010487034,126.85067127764327 37.56731447191539,126.85091503318894 37.567116561068595))",C0103
18794,20190331,30,2,탑산초등학교,24,1 ,서울특별시 강서구 허준로 109 (가양동) .,11500,강서구,126.8523556676873,37.566291478107644,1,"POLYGON((126.85368755657586 37.56496647590674,126.8531257583268 37.564299041692266,126.8528716249962 37.56402617411638,126.85196816971019 37.56299790976663,126.85176987833086 37.56310803295045,126.85345245006047 37.56509007117828,126.85368755657586 37.56496647590674))",C0103
18795,20190331,30,2,가양초등학교,25,1 ,서울특별시 강서구 허준로 186 (가양동) .,11500,강서구,126.85928868717963,37.561957798313294,1,"POLYGON((126.86521501439454 37.559042443149224,126.86502295228655 37.5588530144812,126.85693574005612 37.56324415326662,126.85708892070187 37.56342282783693,126.86521501439454 37.559042443149224))",C0103
18796,20190331,30,1,가양초등학교,20,1 ,서울특별시 강서구 허준로 186 (가양동) .,11500,강서구,126.85928868717963,37.561957798313294,1,"POLYGON((126.86018440839412 37.561455294541965,126.85836641267214 37.55951382331931,126.858193717035 37.55962515941405,126.85902204447889 37.56048426010211,126.85997943620032 37.56157515428074,126.86018440839412 37.561455294541965))",C0103
18797,20190331,30,2,가양초등학교,6~8,1 ,서울특별시 강서구 허준로 186 (가양동) .,11500,강서구,126.85928868717963,37.561957798313294,1,"POLYGON((126.85908654535004 37.56058087915118,126.85903554908427 37.56047997423655,126.85578069121547 37.56164089590849,126.85585052381181 37.5617589666202,126.85908654535004 37.56058087915118))",C0103
18801,20190331,30,0,우현유치원,12~14,2 ,"서울특별시 강서구 강서로 348 (내발산동, 우장산힐스테이트) 우현유치원",11500,강서구,126.84264574026359,37.555358613556585,1,"POLYGON((126.84285196303514 37.555431237477876,126.84202793572695 37.55441876891617,126.841883570843 37.55445236306412,126.84272732608972 37.55550089877578,126.84285196303514 37.555431237477876))",C0103
18802,20190331,30,2,버클리어린이집,5,1 ,서울특별시 강서구 강서로47바길 21 (내발산동) .,11500,강서구,126.83002550666103,37.552448445461955,1,"POLYGON((126.83086142080137 37.551754600785195,126.83079069634361 37.551752246961584,126.83051928870351 37.55166626297505,126.83047976693223 37.551627913859775,126.83041187178411 37.551625563871305,126.82990269166967 37.55255441866898,126.8299650931059 37.55257578108747,126.83042579312189 37.55172469355685,126.83047959347327 37.55170449837269,126.83079059449571 37.55179729667496,126.8308074677595 37.55184237071303,126.83086142080137 37.551754600785195))",C0103
18803,20190331,30,0,버클리어린이집,5,2 ,서울특별시 강서구 강서로47바길 21 (내발산동) .,11500,강서구,126.83002550666103,37.552448445461955,1,"POLYGON((126.82998567882298 37.55242458593947,126.82973116803745 37.55237241186852,126.82964064372554 37.55236777630933,126.82936052675437 37.55237863428776,126.82936039322995 37.552437198904514,126.82978761895151 37.552431058069246,126.82994595220948 37.552476336062995,126.82998567882298 37.55242458593947))",C0103
18804,20190331,30,1,서울공항초등학교,20~26,1 ,서울특별시 강서구 마곡서1로 68 (마곡동) .,11500,강서구,126.82099967729694,37.563325308024396,1,"POLYGON((126.82086177995438 37.56168047688147,126.82062993121163 37.561701568612435,126.82075718414033 37.562596337742,126.82079934849381 37.56298470819518,126.82076623260727 37.56331928758392,126.82044680368269 37.56389372726993,126.82065146391288 37.5639798581517,126.82099232479327 37.56343549860063,126.82103076486064 37.563122325864065,126.82101032174394 37.56265463323915,126.82086177995438 37.56168047688147))",C0103
18806,20190331,30,0,서울공항초등학교,20~26,2 ,서울특별시 강서구 마곡서1로 68 (마곡동) .,11500,강서구,126.82099967729694,37.563325308024396,1,"POLYGON((126.82400930550835 37.56213447385828,126.82400647879051 37.56213340251709,126.82363704425285 37.56217553001957,126.81900531320208 37.56268162480744,126.81901578561214 37.56279746377689,126.8219742854134 37.56249075392459,126.82402392480645 37.56225067658429,126.82401456199472 37.56217458876624,126.82400930550835 37.56213447385828))",C0103
18807,20190331,30,2,밤비니유치원,4~6,1 ,서울특별시 강서구 남부순환로7길 39 (공항동) .,11500,강서구,126.80977968917311,37.55896569813794,1,"POLYGON((126.80983621046747 37.558482970479574,126.80976549754565 37.55847384660794,126.80971088482153 37.55880937956288,126.80981220096307 37.559023529317884,126.80976027433073 37.55941537882561,126.80979136412714 37.55942894385199,126.8098451927281 37.55940200068572,126.80984236326022 37.55940199612867,126.80996991241746 37.559314354401145,126.80994170931405 37.55927826917412,126.80989638639782 37.55929846861232,126.80983984863867 37.55927810516134,126.80985114359497 37.55928713331016,126.80983982574082 37.559287115082164,126.80985991245433 37.559176775449195,126.80987695789037 37.559149773024714,126.80988584115516 37.55899436555279,126.80977604223494 37.55877794970353,126.80983621046747 37.558482970479574))",C0103
18808,20190331,30,2,송정초등학교,12,1 ,서울특별시 강서구 공항대로3길 18 (공항동) .,11500,강서구,126.810369312108,37.562556478682964,1,"POLYGON((126.81064705038715 37.563640135118874,126.8106495518289 37.563624461766196,126.8106574474414 37.563422696667715,126.81036451354713 37.56251145551103,126.81003951142604 37.5616177989269,126.80988936241235 37.561644969997204,126.80997993840506 37.56184486667842,126.81019254126961 37.56244058653454,126.80998814606222 37.56251274281407,126.81001263089426 37.56255391267357,126.8102022539932 37.562493490528354,126.81055411479666 37.56342057125083,126.8104777125959 37.563477256376856,126.81057834724649 37.563561660841074,126.81058328069 37.56355774944943,126.81064705038715 37.563640135118874))",C0103
